index,dataset,Rils-Rols,AIFeynman,Operon,AFP_FE,AFP,BSR,DSR,EPLEX,FEAT,FFX,GP-GOMEA,ITEA,MRGP,SBP-GP,gplearn
0,feynman_III_10_19,0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,feynman_III_12_43,100,0.0,100.0,70.0,50.0,25.0,0.0,12.5,0.0,0.0,100.0,100.0,0.0,75.0,12.5
2,feynman_III_13_18,100,87.5,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
3,feynman_III_14_14,10,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,feynman_III_15_12,100,100.0,0.0,60.0,12.5,0.0,0.0,0.0,0.0,0.0,87.5,0.0,0.0,50.0,12.5
5,feynman_III_15_14,100,90.0,0.0,60.0,37.5,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
6,feynman_III_15_27,100,11.11111111111111,20.0,40.0,62.5,12.5,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,12.5
7,feynman_III_17_37,100,100.0,0.0,80.0,62.5,0.0,87.5,50.0,0.0,0.0,87.5,0.0,0.0,37.5,37.5
8,feynman_III_19_51,100,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
9,feynman_III_21_20,100,100.0,50.0,50.0,50.0,0.0,37.5,12.5,0.0,0.0,50.0,100.0,0.0,12.5,37.5
10,feynman_III_4_32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,feynman_III_4_33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,feynman_III_7_38,100,100.0,40.0,70.0,25.0,0.0,0.0,0.0,0.0,0.0,37.5,100.0,0.0,0.0,0.0
13,feynman_III_9_52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,feynman_II_10_9,100,100.0,10.0,30.0,0.0,0.0,87.5,12.5,0.0,0.0,50.0,0.0,0.0,0.0,37.5
15,feynman_II_11_20,70,100.0,10.0,20.0,12.5,0.0,0.0,12.5,0.0,0.0,75.0,0.0,0.0,0.0,0.0
16,feynman_II_11_27,0,77.77777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,feynman_II_11_28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
